t,rho_lower,rho_upper
0,0.07000000000000006,0.1100000000000001
1,-0.02017957171103779,0.019820428288962244
2,-0.04660013180104916,-0.006600131801049125
3,-0.10178108699748645,-0.06178108699748641
4,-0.1338365608340062,-0.09383656083400616
5,-0.13091211343492803,-0.090912113434928
6,-0.12650119198777032,-0.08650119198777029
7,-0.1632726861022955,-0.12327268610229547
8,-0.23493649064387556,-0.19493649064387553
9,-0.31041539796354956,-0.2704153979635495
10,-0.265568495485377,-0.22556849548537694
11,-0.18108651392687536,-0.14108651392687532
12,-0.08550568412764159,-0.045505684127641555
13,0.01761840444812912,0.05761840444812916
14,0.11356107404349314,0.15356107404349317
15,0.19488630320874667,0.2348863032087467
16,0.26242618915894633,0.30242618915894637
17,0.333686010376949,0.37368601037694904
18,0.4208365872944013,0.46083658729440136
19,0.4843421380538677,0.5243421380538678
20,0.5388761781207279,0.5788761781207279
21,0.5642424427232338,0.6042424427232336
22,0.5909983317588854,0.6309983317588854
23,0.6335956135751564,0.6735956135751564
24,0.6742893517439008,0.7142893517439008
25,0.7103903355061127,0.7503903355061128
26,0.7135585957171051,0.7535585957171052
27,0.7135585957171051,0.7535585957171052
28,0.7135585957171051,0.7535585957171052
29,0.7135585957171051,0.7535585957171052
30,0.7135585957171051,0.7535585957171052
31,0.7135585957171051,0.7535585957171052
32,0.7135585957171051,0.7535585957171052
33,0.7135585957171051,0.7535585957171052
34,0.7135585957171051,0.7535585957171052
35,0.7135585957171051,0.7535585957171052
36,0.7135585957171051,0.7535585957171052
37,0.7135585957171051,0.7535585957171052
38,0.7370047481870114,0.7770047481870115
39,0.7334918882293746,0.7734918882293746
40,0.7300314722795529,0.7700314722795529
41,0.7464765799547062,0.7864765799547062
42,0.768031615541618,0.8080316155416181
43,0.7694286436711197,0.8094286436711198
44,0.7493613000834405,0.7893613000834405
45,0.7135585957171051,0.7535585957171052
46,0.6987939757908739,0.7387939757908739
47,0.6872455163925062,0.7272455163925062
48,0.6868698955697232,0.7268698955697233
49,0.6454981967737947,0.6854981967737948
50,0.5956120496590322,0.6356120496590323
51,0.5550585213345298,0.5950585213345299
52,0.5269643121191876,0.5669643121191876
53,0.5035831541968869,0.543583154196887
54,0.4670333295514637,0.5070333295514637
55,0.41271482560473527,0.4527148256047353
56,0.3625202749478693,0.40252027494786935
57,0.31335963147580004,0.3533596314758001
58,0.27314335931510225,0.3131433593151023
59,0.22737799768476186,0.2673779976847619
60,0.18213413189250982,0.22213413189250986
61,0.13658887785639728,0.17658887785639732
62,0.09169606969546606,0.1316960696954661
63,0.05329473364629833,0.09329473364629837
64,0.022314457918864328,0.06231445791886436
65,-0.0006921929738432642,0.03930780702615677
66,-0.0335413334560124,0.0064586665439876345
67,-0.06249059371511412,-0.022490593715114082
68,-0.06319744173259711,-0.02319744173259708
69,-0.04386787901663669,-0.003867879016636655
70,-0.029531051060791125,0.01046894893920891
71,-0.022160007617931576,0.01783999238206846
72,-0.0019685963849815913,0.038031403615018444
73,0.025609758496879964,0.06560975849688
74,0.059606290736649914,0.09960629073664995
75,0.08740350930178953,0.12740350930178956
76,0.11105533332507544,0.15105533332507548
77,0.13617186948907323,0.17617186948907326
78,0.16668957170681398,0.206689571706814
79,0.19300940612912476,0.2330094061291248
80,0.21294550037914872,0.25294550037914876
81,0.23466992890293348,0.2746699289029335
82,0.2590847159191474,0.2990847159191474
83,0.2718986282568969,0.31189862825689696
84,0.2920338314423643,0.3320338314423643
85,0.3082991994404063,0.3482991994404063
86,0.3210866037162017,0.3610866037162017
87,0.32232753546161685,0.3623275354616169
88,0.32232753546161685,0.3623275354616169
89,0.32232753546161685,0.3623275354616169
90,0.32232753546161685,0.3623275354616169
91,0.32232753546161685,0.3623275354616169
92,0.32232753546161685,0.3623275354616169
93,0.32232753546161685,0.3623275354616169
94,0.32232753546161685,0.3623275354616169
95,0.32232753546161685,0.3623275354616169
96,0.32232753546161685,0.3623275354616169
97,0.32232753546161685,0.3623275354616169
98,0.32232753546161685,0.3623275354616169
99,0.3245338426426616,0.36453384264266164
100,0.3266248153627376,0.3666248153627376
101,0.3342641012661898,0.3742641012661898
102,0.340005742538267,0.380005742538267
103,0.3457655555731789,0.38576555557317893
104,0.3372248479834745,0.37722484798347455
105,0.3291009969567644,0.36910099695676446
106,0.32232753546161685,0.3623275354616169
107,0.32032429052233535,0.3603242905223354
108,0.3082400560325227,0.3482400560325227
109,0.2981701951964706,0.3381701951964706
110,0.2864039888383305,0.32640398883833055
111,0.26855358286867315,0.3085535828686732
112,0.2584246908596839,0.2984246908596839
113,0.24977097573589302,0.28977097573589305
114,0.23475128024490144,0.2747512802449015
115,0.21532514196729458,0.2553251419672946
116,0.19734321170567992,0.23734321170567996
117,0.18116656052089586,0.2211665605208959
118,0.16279060981172533,0.20279060981172536
119,0.09460554858497394,0.13460554858497398
120,0.01899493226502824,0.05899493226502828
121,-0.00702403872790569,0.032975961272094345
122,-0.005099492545064255,0.03490050745493578
123,-0.023824415260926823,0.016175584739073212
124,-0.0781674359443647,-0.03816743594436467
125,-0.15551163563389547,-0.11551163563389544
126,-0.22655724565000468,-0.18655724565000464
127,-0.26900942789426097,-0.22900942789426093
128,-0.30788516798173693,-0.2678851679817369
129,-0.3637472176117369,-0.32374721761173686
130,-0.44208667840090743,-0.4020866784009074
131,-0.5236950130480165,-0.48369501304801643
132,-0.5129671881557589,-0.4729671881557589
133,-0.4613881826361208,-0.42138818263612077
134,-0.40699324904850576,-0.3669932490485057
135,-0.3536954387887885,-0.31369543878878847
136,-0.3099360637023243,-0.26993606370232426
137,-0.2787477982942921,-0.23874779829429205
138,-0.24646724052317714,-0.2064672405231771
139,-0.21044609840459572,-0.17044609840459568
140,-0.1711901983511912,-0.13119019835119117
141,-0.1419262300008488,-0.10192623000084877
142,-0.13311075763600133,-0.0931107576360013
143,-0.13311075763600133,-0.0931107576360013
144,-0.11371267577528577,-0.07371267577528573
145,-0.08132099598827458,-0.041320995988274545
146,-0.04676562197606082,-0.006765621976060787
147,-0.033010819520737034,0.006989180479263002
148,-0.028243469420412337,0.011756530579587698
