t,rho_lower,rho_upper
0,0.07000000000000006,0.1100000000000001
1,0.07000000000000006,0.1100000000000001
2,0.07000000000000006,0.1100000000000001
3,0.07000000000000006,0.1100000000000001
4,0.07000000000000006,0.1100000000000001
5,0.07000000000000006,0.1100000000000001
6,0.07000000000000006,0.1100000000000001
7,0.07000000000000006,0.1100000000000001
8,0.07000000000000006,0.1100000000000001
9,0.07000000000000006,0.1100000000000001
10,0.07000000000000006,0.1100000000000001
11,0.07000000000000006,0.1100000000000001
12,0.07000000000000006,0.1100000000000001
13,-1.1274142932949385,-1.0874142932949384
14,-1.1274142932949385,-1.0874142932949384
15,-1.1274142932949385,-1.0874142932949384
16,-1.1274142932949385,-1.0874142932949384
17,-1.1518031858477944,-1.1118031858477944
18,-1.1477481985171183,-1.1077481985171183
19,0.07000000000000006,0.1100000000000001
20,-1.0667037699668076,-1.0267037699668076
21,-0.9906658557528683,-0.9506658557528682
22,-0.9072132712891919,-0.8672132712891919
23,-0.82976337325947,-0.78976337325947
24,-0.7524769440072802,-0.7124769440072801
25,-0.6619169084856679,-0.6219169084856678
26,-0.5583085555774722,-0.5183085555774721
27,-0.44802399217139977,-0.40802399217139973
28,-0.35159180839801296,-0.3115918083980129
29,-0.265568495485377,-0.22556849548537694
30,-0.18108651392687536,-0.14108651392687532
31,-0.08550568412764159,-0.045505684127641555
32,0.01761840444812912,0.05761840444812916
33,0.11356107404349314,0.15356107404349317
34,0.19488630320874667,0.2348863032087467
35,0.26242618915894633,0.30242618915894637
36,0.333686010376949,0.37368601037694904
37,0.4208365872944013,0.46083658729440136
38,0.4843421380538677,0.5243421380538678
39,0.5388761781207279,0.5788761781207279
40,0.5642424427232338,0.6042424427232336
41,0.5909983317588854,0.6309983317588854
42,0.6335956135751564,0.6735956135751564
43,0.6742893517439008,0.7142893517439008
44,0.7103903355061127,0.7503903355061128
45,0.7135585957171051,0.7535585957171052
46,0.7135585957171051,0.7535585957171052
47,0.7135585957171051,0.7535585957171052
48,0.7135585957171051,0.7535585957171052
49,0.7135585957171051,0.7535585957171052
50,0.7135585957171051,0.7535585957171052
51,0.7135585957171051,0.7535585957171052
52,0.7135585957171051,0.7535585957171052
53,0.7135585957171051,0.7535585957171052
54,0.7135585957171051,0.7535585957171052
55,0.7135585957171051,0.7535585957171052
56,0.7135585957171051,0.7535585957171052
57,0.7370047481870114,0.7770047481870115
58,0.7334918882293746,0.7734918882293746
59,0.7300314722795529,0.7700314722795529
60,0.7464765799547062,0.7864765799547062
61,0.768031615541618,0.8080316155416181
62,0.7694286436711197,0.8094286436711198
63,0.7493613000834405,0.7893613000834405
64,0.7135585957171051,0.7535585957171052
65,0.6987939757908739,0.7387939757908739
66,0.6872455163925062,0.7272455163925062
67,0.6868698955697232,0.7268698955697233
68,0.6454981967737947,0.6854981967737948
69,0.5956120496590322,0.6356120496590323
70,0.5550585213345298,0.5950585213345299
71,0.5269643121191876,0.5669643121191876
72,0.5035831541968869,0.543583154196887
73,0.4670333295514637,0.5070333295514637
74,0.41271482560473527,0.4527148256047353
75,0.3625202749478693,0.40252027494786935
76,0.31335963147580004,0.3533596314758001
77,0.27314335931510225,0.3131433593151023
78,0.22737799768476186,0.2673779976847619
79,0.18213413189250982,0.22213413189250986
80,0.13658887785639728,0.17658887785639732
81,0.09169606969546606,0.1316960696954661
82,0.05329473364629833,0.09329473364629837
83,0.022314457918864328,0.06231445791886436
84,-0.0006921929738432642,0.03930780702615677
85,-0.0335413334560124,0.0064586665439876345
86,-0.06249059371511412,-0.022490593715114082
87,-0.06319744173259711,-0.02319744173259708
88,-0.04386787901663669,-0.003867879016636655
89,-0.029531051060791125,0.01046894893920891
90,-0.022160007617931576,0.01783999238206846
91,-0.0019685963849815913,0.038031403615018444
92,0.025609758496879964,0.06560975849688
93,0.059606290736649914,0.09960629073664995
94,0.08740350930178953,0.12740350930178956
95,0.11105533332507544,0.15105533332507548
96,0.13617186948907323,0.17617186948907326
97,0.16668957170681398,0.206689571706814
98,0.19300940612912476,0.2330094061291248
99,0.21294550037914872,0.25294550037914876
100,0.23466992890293348,0.2746699289029335
101,0.2590847159191474,0.2990847159191474
102,0.2718986282568969,0.31189862825689696
103,0.2920338314423643,0.3320338314423643
104,0.3082991994404063,0.3482991994404063
105,0.3210866037162017,0.3610866037162017
106,0.32232753546161685,0.3623275354616169
107,0.32232753546161685,0.3623275354616169
108,0.32232753546161685,0.3623275354616169
109,0.32232753546161685,0.3623275354616169
110,0.32232753546161685,0.3623275354616169
111,0.32232753546161685,0.3623275354616169
112,0.32232753546161685,0.3623275354616169
113,0.32232753546161685,0.3623275354616169
114,0.32232753546161685,0.3623275354616169
115,0.32232753546161685,0.3623275354616169
116,0.32232753546161685,0.3623275354616169
117,0.32232753546161685,0.3623275354616169
118,0.3245338426426616,0.36453384264266164
119,0.3266248153627376,0.3666248153627376
120,0.3342641012661898,0.3742641012661898
121,0.340005742538267,0.380005742538267
122,0.3457655555731789,0.38576555557317893
123,0.3372248479834745,0.37722484798347455
124,0.3291009969567644,0.36910099695676446
125,0.32232753546161685,0.3623275354616169
126,0.32032429052233535,0.3603242905223354
